Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Wild Orchids,wild orchids,"Romance, Drama",English,Series,"Singapore,Malaysia",< 30 minutes,6.5,,,,23-Feb-29,2020-12-12,590
Zero to Hero,zero to hero,Game-Show,English,Series,"Singapore,Malaysia",< 30 minutes,2.6,,,,01-Mar-04,2020-12-12,27
Mystery,mystery,"Adventure, Comedy",English,Series,"Singapore,Malaysia",< 30 minutes,7,3,8,"$53,883,989",02-May-97,2020-12-12,221785
Morning Express,morning express,"News, Talk-Show",English,Series,"Singapore,Malaysia",< 30 minutes,7.3,,,,01-Oct-05,2020-12-12,95
Masters Of The Sea,masters of the sea,"Short, Comedy, Sport",English,Series,"Singapore,Malaysia",< 30 minutes,8.3,,,,15-Oct-06,2020-12-12,6
Metamorphosis,metamorphosis,"Fantasy, Horror, Thriller","English, Hungarian",Series,,< 30 minutes,3.6,4,,,24-Aug-10,2020-12-12,1204
Immortal Love,immortal love,Romance,Turkish,Series,"Singapore,Malaysia",< 30 minutes,6.8,,,,23-Sep-03,2020-12-12,76
Hainan Kopi Tales,hainan kopi tales,Drama,Chinese,Series,"Singapore,Malaysia",< 30 minutes,,,,,01-Jul-00,2020-12-12,
The Guest People,the guest people,Drama,"Mandarin, Hakka",Series,"Singapore,Malaysia",< 30 minutes,,,,,11-Nov-97,2020-12-12,
The Golden Pillow,the golden pillow,"Drama, Action, Family",Mandarin,Series,"Singapore,Malaysia",< 30 minutes,7.8,,,,21-Nov-95,2020-12-12,8
The Champion,the champion,"Short, Comedy, Sport","None, English",Movie,"Singapore,Malaysia",< 30 minutes,6.8,,,,11-Mar-15,2020-12-12,2123
Me & You vs The World,me & you vs the world,"Biography, Crime, Drama","English, French",Movie,"Singapore,Thailand",1-2 hour,8.1,16,46,"$164,615,351",25-Dec-02,2020-12-12,837936
S.A.M.,s.a.m.,"Adventure, Comedy, Drama",English,Movie,"Singapore,Malaysia",1-2 hour,5.7,,,"$1,640,220",24-Nov-93,2020-12-12,1408
Take Point,take point,"Action, Thriller","Korean, English",Movie,"Singapore,Malaysia,South Korea",> 2 hrs,5.4,,,"$112,386",26-Dec-18,2020-12-12,971
Superstition,superstition,Horror,English,Movie,"Singapore,Malaysia",1-2 hour,5.8,,,,02-Jan-85,2020-12-12,2576
Tokan,tokan,"Action, Crime",Malay,Movie,"Singapore,Malaysia",1-2 hour,4.1,,2,,26-Dec-13,2020-12-12,18
Usop Wilcha Meghonjang Makhluk Muzium,usop wilcha meghonjang makhluk muzium,Comedy,Malay,Movie,"Singapore,Malaysia",1-2 hour,4.1,,,,03-Sep-15,2020-12-12,9
Dziewczyny ze Lwowa,dziewczyny ze lwowa,Comedy,Polish,Series,Poland,< 30 minutes,5.8,,,,06-Sep-15,2020-12-12,12
Ejen Ali The Movie,ejen ali the movie,"Animation, Action, Adventure, Comedy, Mystery, Sci-Fi, Thriller","Malay, English",Movie,"Singapore,Malaysia",1-2 hour,8.6,,2,,28-Nov-19,2020-12-12,858
1920. Wojna i milosc,1920. wojna i milosc,"Action, History, Romance, War",Polish,Series,Poland,< 30 minutes,6.9,,,,11-Nov-10,2020-12-12,60
Blood Ties,blood ties,"Action, Crime, Drama, Thriller","English, Italian, Spanish",Movie,"Singapore,Malaysia",1-2 hour,6.5,,,"$42,472",30-Oct-13,2020-12-12,19060
"Aku Ada, Kau Ada???","aku ada, kau ada???","Comedy, Musical, Romance",Malay,Movie,"Singapore,Malaysia",1-2 hour,4.1,,,,24-May-12,2020-12-12,7
Triple Trouble,triple trouble,"Comedy, Short",None,Movie,Poland,1-2 hour,5.2,,,,11-Aug-18,2020-12-12,952
Legiony,legiony,"Drama, History, Romance, War",Polish,Movie,Poland,> 2 hrs,5.3,,2,,20-Sep-19,2020-12-12,335
Romance on the Menu,romance on the menu,Romance,English,Movie,Australia,1-2 hour,5.6,,,,24-Sep-20,2020-12-12,195
Sweet River,sweet river,"Horror, Mystery, Thriller",English,Movie,Australia,1-2 hour,5.6,,,,05-Dec-20,2020-12-12,165
Erotica 2022,erotica 2022,"Drama, Mystery, Romance",Polish,Movie,Poland,> 2 hrs,3.4,,,,25-Nov-20,2020-12-12,195
The Way Back,the way back,"Adventure, Drama, History","English, Russian, Polish, Tibetan, Mongolian",Movie,Australia,1-2 hour,7.3,4,5,"$2,701,859",21-Jan-11,2020-12-12,110733
The Whistleblower,the whistleblower,"Biography, Crime, Drama","English, Romanian, Russian, Serbian, Ukrainian",Movie,Australia,> 2 hrs,7.1,8,11,"$1,124,966",27-Oct-11,2020-12-12,31769
Hot Mess,hot mess,Comedy,English,Movie,Australia,1-2 hour,7.1,,,,01-Jul-13,2020-12-12,8
Promare,promare,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi, Thriller",Japanese,Movie,Italy,1-2 hour,7.1,,2,"$2,313,596",24-May-19,2020-12-11,2546
The Prom,the prom,Documentary,German,Movie,"Italy,Canada,Lithuania,South Africa,Australia,Thailand,Poland,Singapore,Brazil,India,France,Iceland,Spain,Hong Kong,Japan,South Korea,Greece,Argentina,United States,Russia,Czech Republic,Israel,Belgium,Switzerland,Portugal,United Kingdom,Hungary,Slovakia,Malaysia,Sweden,Netherlands,Germany,Turkey,Mexico,Colombia,Romania",> 2 hrs,6.3,,,,01-Jun-10,2020-12-11,141
Torbaaz,torbaaz,"Action, Drama, Sport, Thriller",Hindi,Movie,"Italy,Canada,Lithuania,South Africa,Australia,Thailand,Poland,Singapore,Brazil,India,France,Iceland,Spain,Hong Kong,Japan,Argentina,Greece,South Korea,United States,Russia,Czech Republic,Israel,Belgium,Switzerland,Portugal,United Kingdom,Hungary,Malaysia,Slovakia,Sweden,Netherlands,Germany,Turkey,Mexico,Colombia,Romania",> 2 hrs,6.5,,,,11-Dec-20,2020-12-11,4387
Lamico di famiglia,lamico di famiglia,"Comedy, Drama",Greek,Movie,Italy,1-2 hour,5.5,,8,,23-Feb-12,2020-12-11,677
Giving Voice,giving voice,Documentary,English,Movie,"Italy,Canada,Lithuania,Australia,South Africa,Poland,Thailand,Singapore,Brazil,India,France,Iceland,Spain,Hong Kong,Argentina,Japan,Greece,South Korea,United States,Russia,Czech Republic,Israel,Belgium,Switzerland,Portugal,United Kingdom,Hungary,Malaysia,Slovakia,Sweden,Netherlands,Germany,Turkey,Mexico,Colombia,Romania",1-2 hour,6.7,1,,,11-Dec-20,2020-12-11,158
From Zero to Ten,from zero to ten,"Comedy, Drama, Music",Italian,Movie,Italy,1-2 hour,5.9,1,5,,08-Feb-02,2020-12-11,823
City Hunter: Shinjuku Private Eyes,city hunter: shinjuku private eyes,"Animation, Action, Comedy",Japanese,Movie,"Italy,Japan",1-2 hour,6.5,,,,08-Feb-19,2020-12-11,472
Canvas,canvas,Drama,English,Movie,"Italy,Canada,Lithuania,Australia,South Africa,Poland,Thailand,Singapore,Brazil,India,France,Iceland,Spain,Hong Kong,Argentina,Greece,Japan,South Korea,United States,Russia,Czech Republic,Israel,Belgium,Switzerland,Portugal,United Kingdom,Hungary,Malaysia,Slovakia,Sweden,Netherlands,Germany,Turkey,Mexico,Colombia,Romania",< 30 minutes,6.6,9,1,"$35,630",12-Dec-08,2020-12-11,981
A Trash Truck Christmas,a trash truck christmas,"Animation, Family",English,Movie,"Italy,Canada,Lithuania,Poland,South Africa,Australia,Thailand,Singapore,Brazil,India,France,Iceland,Spain,Hong Kong,Greece,Argentina,Japan,South Korea,United States,Russia,Czech Republic,Israel,Belgium,Switzerland,Portugal,United Kingdom,Hungary,Slovakia,Malaysia,Sweden,Netherlands,Germany,Turkey,Mexico,Colombia,Romania",< 30 minutes,5.3,,,,11-Dec-20,2020-12-11,128
Over Drive,over drive,Action,Japanese,Movie,Japan,1-2 hour,5.9,1,,,01-Jun-18,2020-12-11,263
"Its Me, Its Me","its me, its me",Horror,"English, Hebrew",Movie,"Hong Kong,India",1-2 hour,7.3,8,47,"$328,828,874",08-Sep-17,2020-12-11,460854
Running Against the Wind,running against the wind,Drama,Amharic,Movie,South Africa,1-2 hour,8.7,,,,14-Sep-19,2020-12-11,52
Cuidado con lo que deseas,cuidado con lo que deseas,"Horror, Thriller",Spanish,Movie,"Brazil,Argentina,Mexico,Colombia",1-2 hour,4.2,,,,20-Aug-20,2020-12-11,232
Funny Boy,funny boy,"Comedy, Drama",French,Movie,"United Kingdom,Australia,United States",1-2 hour,4.6,,,,26-Aug-87,2020-12-10,52
El Cazador,el cazador,Action,Spanish,Movie,"Spain,Brazil,Argentina,Mexico,Colombia",1-2 hour,,,,,,2020-12-10,
Shes the One,shes the one,"Adventure, Fantasy",English,Movie,"Lithuania,South Africa,France,Hong Kong,Thailand,Japan,Spain,Israel,Czech Republic,Russia,Switzerland,Belgium,United Kingdom,Portugal,Hungary,Germany,Australia,Canada,Mexico,Poland,Brazil,India,Iceland,Singapore,Argentina,Greece,United States,Malaysia,Slovakia,Sweden,Netherlands,Turkey,Italy,Colombia,Romania",1-2 hour,5.8,,,,18-Apr-65,2020-12-10,2994
The Panti Sisters,the panti sisters,Comedy,"Tagalog, Filipino",Movie,"Lithuania,South Africa,France,Hong Kong,Thailand,Japan,Spain,Israel,Czech Republic,Russia,Switzerland,Belgium,United Kingdom,Portugal,Hungary,Germany,Australia,Canada,Poland,Mexico,Brazil,India,Iceland,Singapore,Argentina,Greece,United States,Malaysia,Slovakia,Sweden,Netherlands,Turkey,Italy,Colombia,Romania",1-2 hour,5.5,3,7,,20-Sep-19,2020-12-10,208
Just The Way You Are,just the way you are,"Comedy, Romance",English,Movie,"France,Hong Kong,Spain,Israel,Russia,Belgium,Portugal,Germany,Lithuania,Poland,Brazil,Iceland,Greece,Czech Republic,Slovakia,Sweden,Netherlands,Turkey,Italy,Argentina,India,Mexico,Hungary,South Africa,Colombia,Romania",1-2 hour,5.9,,,,09-May-15,2020-12-10,1014
Rose Island,rose island,"Adventure, Comedy, Drama","Italian, French, German",Movie,"Czech Republic,Israel,India,Canada,Australia,Lithuania,Mexico,Poland,Brazil,South Africa,France,Iceland,Hong Kong,Thailand,Italy,Japan,Singapore,Spain,South Korea,Argentina,Greece,United States,Russia,Switzerland,Belgium,United Kingdom,Portugal,Malaysia,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,Colombia,Romania",1-2 hour,7,,,,09-Dec-20,2020-12-09,12240
Winter Flies,winter flies,"Adventure, Comedy, Drama",Czech,Movie,"Czech Republic,Slovakia",1-2 hour,6.4,7,13,,06-Sep-18,2020-12-09,371
The Surgeons Cut,the surgeons cut,"Horror, Thriller",English,Series,"Czech Republic,Israel,India,Canada,Australia,Lithuania,Mexico,Poland,Brazil,South Africa,France,Iceland,Hong Kong,Thailand,Italy,Japan,Singapore,Spain,South Korea,Argentina,Greece,United States,Russia,Switzerland,Belgium,United Kingdom,Portugal,Malaysia,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,Colombia,Romania",< 30 minutes,4.9,,,,13-Jan-95,2020-12-09,642
Friday,friday,"Comedy, Drama",English,Movie,Russia,1-2 hour,7.3,1,5,"$27,467,564",26-Apr-95,2020-12-09,100390
"Kalel, 15","kalel, 15",Drama,"Tagalog, Filipino",Movie,"Lithuania,Hong Kong,Russia,Netherlands,Germany,Czech Republic,Israel,India,Mexico,Poland,Brazil,France,Iceland,Spain,Greece,Belgium,Portugal,Slovakia,Sweden,Turkey,Italy,Argentina,Canada,South Africa,Hungary,Thailand,Singapore,Australia,United Kingdom,Japan,United States,Colombia,Romania",1-2 hour,7.3,6,15,,18-Dec-19,2020-12-09,159
Once Upon a Time,once upon a time,"Adventure, Fantasy, Romance",English,Series,"Israel,Brazil,France,Thailand,Japan,Belgium,Switzerland,Portugal,Czech Republic,Canada,Lithuania,Poland,South Africa,Iceland,Hong Kong,Singapore,Argentina,Greece,United States,Malaysia,Hungary,Slovakia,Sweden,Turkey,Italy,India,Germany,Russia,Mexico,United Kingdom,Spain,Netherlands,Australia,Colombia,Romania",< 30 minutes,7.7,12,94,,23-Oct-11,2020-12-08,208782
Juman,juman,,Assamese,Series,"Israel,Lithuania,Canada,Poland,France,South Africa,Iceland,Hong Kong,Thailand,Singapore,Greece,Argentina,United States,Czech Republic,Belgium,Switzerland,Portugal,Malaysia,Hungary,Slovakia,Sweden,Turkey,India,Mexico,Italy,Spain,Russia,Colombia,United Kingdom,Australia,Germany,Netherlands,Japan,Romania,Brazil",< 30 minutes,,,,,05-Aug-03,2020-12-08,
Spirit Riding Free: Ride Along Adventure,spirit riding free: ride along adventure,"Animation, Adventure, Comedy, Drama, Family, Mystery, Western",English,Movie,"Israel,Lithuania,Canada,Australia,Poland,Mexico,Brazil,France,India,South Africa,Iceland,Hong Kong,Italy,Thailand,Japan,Spain,Singapore,South Korea,Greece,Argentina,United States,Czech Republic,Russia,Belgium,Switzerland,United Kingdom,Portugal,Malaysia,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,Colombia,Romania",1-2 hour,5.9,,,,08-Dec-20,2020-12-08,14
Babel,babel,Drama,"English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language",Series,South Korea,< 30 minutes,7.4,43,136,"$34,302,837",10-Nov-06,2020-12-08,289958
Melbourne Rewind,melbourne rewind,"Drama, Romance",Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,5.7,,,,17-Nov-16,2020-12-08,6
AndrÃƒÂ© & his olive tree,andrãƒâ© & his olive tree,"Comedy, Drama","Swedish, English",Movie,"Lithuania,South Africa,France,Hong Kong,Thailand,Japan,Spain,South Korea,Czech Republic,Russia,Switzerland,Belgium,Hungary,Netherlands,Germany,Australia,Canada,Poland,Mexico,Brazil,India,Iceland,Italy,Greece,Argentina,United States,Israel,United Kingdom,Portugal,Malaysia,Slovakia,Sweden,Turkey,Colombia,Romania",1-2 hour,5.4,,2,,25-Dec-94,2020-12-08,2041
The War of the Worlds,the war of the worlds,"Action, Sci-Fi, Thriller","English, Spanish",Series,"Thailand,Singapore,Malaysia",< 30 minutes,7.1,5,2,,26-Aug-53,2020-12-07,32807
Only the Animals,only the animals,"Crime, Drama, Mystery, Thriller",French,Movie,United Kingdom,1-2 hour,7,2,7,,04-Dec-19,2020-12-07,2504
Stage Mother,stage mother,"Comedy, Drama, Music",English,Movie,United Kingdom,1-2 hour,6.5,5,5,,21-Aug-20,2020-12-07,1148
Mikano,mikano,,,Movie,Israel,1-2 hour,,,,,11-Oct-09,2020-12-07,
Messages from the Sea,messages from the sea,"Drama, Romance",Arabic,Movie,Israel,> 2 hrs,7.3,5,1,,03-Feb-10,2020-12-07,1406
Teer Enta,teer enta,"Comedy, Fantasy, Romance",Arabic,Movie,Israel,1-2 hour,7.2,,,,15-Jul-09,2020-12-07,3173
Double Team,double team,"Action, Comedy, Sci-Fi, Thriller","English, Italian",Movie,Israel,1-2 hour,4.8,4,,"$11,438,337",04-Apr-97,2020-12-07,31628
Alzheimers,alzheimers,"Drama, Family, Mystery",Persian,Movie,Israel,1-2 hour,5.4,2,2,,24-Aug-11,2020-12-07,291
The Pet Girl of Sakurasou,the pet girl of sakurasou,"Animation, Comedy, Drama, Romance",Japanese,Series,"Germany,Switzerland",< 30 minutes,7.8,,,,09-Oct-12,2020-12-07,3128
100 Things,100 things,Comedy,"German, English, Finnish",Movie,"Germany,Switzerland",1-2 hour,6.4,1,3,,06-Dec-18,2020-12-07,4517
World on Fire,world on fire,"Drama, War","English, Polish, German, French",Series,"Hong Kong,Thailand,Singapore,Malaysia,South Korea",< 30 minutes,7.2,,4,,05-Apr-20,2020-12-07,3935
Little Book of Love 2,little book of love 2,"Comedy, Romance",Portuguese,Movie,Brazil,1-2 hour,5.3,,1,,25-Aug-15,2020-12-07,50
Isolados,isolados,"Horror, Mystery, Thriller",Portuguese,Movie,Brazil,1-2 hour,5.4,,2,,18-Sep-14,2020-12-07,468
In Therapy,in therapy,"Comedy, Drama, Romance",Portuguese,Movie,Brazil,1-2 hour,6.4,10,12,,17-Apr-09,2020-12-07,769
Confia em mim,confia em mim,Short,Portuguese,Movie,Brazil,1-2 hour,,,,,,2020-12-07,
100 Days My Prince,100 days my prince,"Comedy, History, Romance",Korean,Series,"France,South Africa,Spain,Hong Kong,Japan,Czech Republic,Belgium,Russia,Hungary,Netherlands,Germany,Israel,Switzerland,United Kingdom,South Korea,Lithuania,Iceland,Portugal,Thailand,Canada,Australia,Mexico,Brazil,Poland,India,Singapore,Argentina,Greece,United States,Malaysia,Slovakia,Sweden,Turkey,Italy,Colombia,Romania",< 30 minutes,7.5,2,,,10-Sep-18,2020-12-07,927
Open Your Eyes,open your eyes,"Drama, Mystery, Sci-Fi, Thriller",Spanish,Movie,Portugal,1-2 hour,7.7,6,14,"$370,720",19-Dec-97,2020-12-06,64161
Hover,hover,Sci-Fi,English,Movie,"Portugal,South Africa",1-2 hour,3.8,,,,29-Jun-18,2020-12-06,506
Halloween 4: The Return of Michael Myers,halloween 4: the return of michael myers,"Horror, Thriller",English,Movie,Portugal,1-2 hour,5.9,1,2,"$17,768,757",21-Oct-88,2020-12-06,44178
Dear Secret Santa,dear secret santa,"Comedy, Family, Romance",English,Movie,Iceland,1-2 hour,6.3,,,,30-Nov-13,2020-12-06,624
Spirit,spirit,"Comedy, Drama",Malayalam,Series,South Africa,< 30 minutes,7.5,4,2,,21-Jun-12,2020-12-06,1801
The Ultimate Braai Master,the ultimate braai master,Reality-TV,English,Series,South Africa,< 30 minutes,7.1,,,,13-Sep-12,2020-12-06,10
Hard Copy,hard copy,News,English,Series,South Africa,< 30 minutes,3.8,,,,,2020-12-06,96
Gauteng Maboneng,gauteng maboneng,Comedy,"English, Zulu",Series,South Africa,< 30 minutes,,8,6,,20-Apr-11,2020-12-06,
Emoyeni,emoyeni,Sci-Fi,Zulu,Series,South Africa,< 30 minutes,,4,2,,22-Jul-18,2020-12-06,
Bedford Wives,bedford wives,"Comedy, Drama",English,Series,South Africa,< 30 minutes,5.1,1,6,,24-Aug-17,2020-12-06,8
Still Born,still born,"Documentary, Animation, Short, Drama",Swedish,Movie,South Africa,< 30 minutes,6.9,3,,,20-Nov-14,2020-12-06,34
The Grooms Price,the grooms price,Mystery,English,Movie,South Africa,< 30 minutes,7.8,,,,17-Apr-00,2020-12-06,10
The Captain of Nakara,the captain of nakara,"Comedy, Romance","English, Swahili",Movie,South Africa,1-2 hour,7.5,,2,,10-Feb-12,2020-12-06,53
Nothing But Thirty,nothing but thirty,Drama,Mandarin,Series,South Korea,< 30 minutes,7.2,16,8,,17-Jul-20,2020-12-06,111
More than Friends,more than friends,"Comedy, Drama",English,Series,"South Korea,South Africa,Thailand,Singapore,Israel,Malaysia,India,Russia",< 30 minutes,5.8,,,,20-Oct-78,2020-12-06,58
Love Again,love again,"Drama, Romance",English,Series,South Korea,< 30 minutes,5.9,,,,21-Jun-15,2020-12-06,523
Hello Jadoo,hello jadoo,,,Series,South Korea,< 30 minutes,,,,,08-May-16,2020-12-06,
Graceful Family,graceful family,Drama,Korean,Series,South Korea,< 30 minutes,7.9,,,,21-Aug-19,2020-12-06,202
Devilish Charm,devilish charm,Thriller,English,Series,South Korea,< 30 minutes,3.5,,,,01-May-14,2020-12-06,119
"My TYRANO: Together, Forever","my tyrano: together, forever","Animation, Romance","Japanese, Mandarin",Movie,South Korea,1-2 hour,6.8,,,,14-Aug-19,2020-12-06,11
Queen & Slim,queen & slim,"Adventure, Comedy, Drama","Hindi, English, French, Japanese, Dutch",Movie,"South Korea,Russia",> 2 hrs,8.2,22,18,,07-Mar-14,2020-12-06,60815
Lightning Man & The Mystery Island,lightning man & the mystery island,"Short, Drama",English,Movie,South Korea,1-2 hour,,,,,26-Apr-19,2020-12-06,
Emma,emma,"Comedy, Drama, Romance",English,Movie,South Korea,> 2 hrs,6.6,3,7,"$22,231,658",30-Aug-96,2020-12-06,36103
Abominable,abominable,"Animation, Adventure, Comedy, Family, Fantasy","English, Mandarin",Movie,South Korea,1-2 hour,7,4,22,"$60,826,390",27-Sep-19,2020-12-06,29620
Detention,detention,"Comedy, Horror, Mystery, Sci-Fi, Thriller",English,Series,"Canada,Australia,Poland,France,Mexico,Italy,Thailand,India,Singapore,Spain,Hong Kong,Argentina,Japan,Greece,United States,Czech Republic,Switzerland,Russia,Belgium,United Kingdom,Hungary,Malaysia,Slovakia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Brazil,Israel,Lithuania,Colombia,Romania",< 30 minutes,5.7,,4,,13-Apr-12,2020-12-06,14917
Mighty Express: A Mighty Christmas,mighty express: a mighty christmas,"Animation, Family",English,Movie,"Australia,France,Thailand,India,Singapore,Hong Kong,Argentina,United States,Switzerland,Russia,Malaysia,Netherlands,Germany,South Korea,South Africa,Iceland,Portugal,Spain,Poland,Brazil,Czech Republic,Israel,Mexico,Italy,Sweden,Turkey,Lithuania,Greece,Canada,Belgium,Hungary,Slovakia,United Kingdom,Japan,Colombia,Romania",< 30 minutes,5,,,,05-Dec-20,2020-12-06,27
The Forest of Wool and Steel,the forest of wool and steel,"Drama, Music",Japanese,Movie,Japan,> 2 hrs,6.3,1,,,08-Jun-18,2020-12-05,155
MANK,mank,"Biography, Comedy, Drama","English, German, Latin",Movie,"France,Brazil,Hong Kong,Spain,Israel,Switzerland,Russia,Netherlands,Germany,Poland,India,Czech Republic,South Korea,South Africa,Portugal,Mexico,Italy,Argentina,Sweden,Turkey,Singapore,Japan,Lithuania,Iceland,Greece,Canada,Belgium,Hungary,Thailand,Slovakia,Australia,United Kingdom,United States,Malaysia,Colombia,Romania",> 2 hrs,7.1,27,167,,04-Dec-20,2020-12-05,38316
Selena: The Series,selena: the series,"Biography, Drama, Music",English,Series,"Canada,Poland,Australia,Mexico,France,Brazil,Italy,Thailand,India,Singapore,Hong Kong,Argentina,Japan,Israel,Switzerland,United States,United Kingdom,Spain,Russia,Malaysia,Greece,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",< 30 minutes,6.6,,,,04-Dec-20,2020-12-05,2704
Bhaag Beanie Bhaag,bhaag beanie bhaag,Comedy,,Series,"Australia,Poland,Canada,Mexico,France,Brazil,Italy,Thailand,India,Singapore,Hong Kong,Argentina,Japan,Israel,Switzerland,United States,Spain,United Kingdom,Russia,Malaysia,Greece,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",< 30 minutes,4.1,,,,04-Dec-20,2020-12-05,3609
You Are My Home,you are my home,"Short, Music",Spanish,Movie,"Australia,Canada,United States,United Kingdom,South Africa",1-2 hour,,,,,01-Jul-98,2020-12-05,
Christmas Crossfire,christmas crossfire,"Comedy, Crime, Thriller","German, English",Movie,"Poland,Australia,Canada,France,Mexico,Brazil,Italy,Thailand,India,Singapore,Hong Kong,Spain,Argentina,Japan,Israel,Switzerland,United States,United Kingdom,Russia,Malaysia,Greece,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",1-2 hour,4.8,,,,04-Dec-20,2020-12-05,916
Captain Underpants Mega Blissmas,captain underpants mega blissmas,"Animation, Comedy, Family",English,Movie,"Poland,Australia,Canada,France,Mexico,Brazil,Italy,Thailand,India,Singapore,Spain,Hong Kong,Argentina,Japan,Switzerland,United States,United Kingdom,Russia,Malaysia,Greece,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Israel,Lithuania,Colombia,Romania",30-60 mins,5.2,,,,04-Dec-20,2020-12-05,100
Body Cam,body cam,"Horror, Mystery, Thriller",English,Movie,"Russia,South Korea",1-2 hour,5.3,,,,18-May-20,2020-12-04,3437
Tenchi: The Samurai Astronomer,tenchi: the samurai astronomer,"Biography, Drama",Japanese,Movie,Japan,> 2 hrs,6.8,1,5,,15-Sep-12,2020-12-04,296
The Fallen Angel,the fallen angel,Drama,Japanese,Movie,Japan,> 2 hrs,6,1,,,20-Feb-10,2020-12-04,217
The Whistlers,the whistlers,"Comedy, Crime, Drama, Thriller","Romanian, English, Spanish",Movie,United Kingdom,1-2 hour,6.3,11,16,"$55,608",13-Sep-19,2020-12-04,4219
Just Another Christmas,just another christmas,"Comedy, Drama",Portuguese,Movie,"Germany,Poland,France,Brazil,Hong Kong,Israel,Italy,Russia,Spain,Greece,Belgium,Slovakia,Sweden,Netherlands,Turkey,Czech Republic,South Korea,Iceland,Portugal,India,Lithuania,Mexico,Argentina,Singapore,Japan,Canada,South Africa,Hungary,Thailand,Australia,Switzerland,United Kingdom,United States,Malaysia,Colombia,Romania",1-2 hour,6.7,,,,03-Dec-20,2020-12-03,3442
Chico Bon Bon and the Very Berry Holiday,chico bon bon and the very berry holiday,"Animation, Family",English,Movie,"Germany,Poland,Australia,Canada,France,Mexico,Brazil,Thailand,India,Singapore,Hong Kong,Italy,Argentina,Japan,Switzerland,United States,United Kingdom,Russia,Malaysia,Spain,Greece,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Turkey,South Korea,South Africa,Iceland,Portugal,Israel,Lithuania,Colombia,Romania",< 30 minutes,5.3,,,,03-Dec-20,2020-12-03,23
Break,break,Thriller,"Russian, English",Movie,"Germany,Poland,Australia,Canada,Mexico,Brazil,Thailand,India,Singapore,Hong Kong,Italy,Argentina,Japan,United States,United Kingdom,Russia,Malaysia,Spain,Greece,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Turkey,South Africa,Iceland,Israel,Lithuania,Colombia,Romania",1-2 hour,4.5,,,,14-Feb-19,2020-12-03,1389
Mutafukaz,mutafukaz,"Sci-Fi, Short",English,Movie,Japan,1-2 hour,7,,,,27-Oct-15,2020-12-03,65
Must Be... Love,must be... love,"Comedy, Romance","Filipino, Tagalog",Movie,"France,Thailand,Hong Kong,Japan,Belgium,Switzerland,Russia,Netherlands,Germany,Australia,Canada,Mexico,Brazil,India,Singapore,Argentina,United States,United Kingdom,Malaysia,Spain,Czech Republic,South Africa,Iceland,Portugal,Israel,Lithuania,Italy,Poland,Greece,Sweden,Turkey,Colombia",1-2 hour,6.8,,1,,13-Mar-13,2020-12-03,450
Between Maybes,between maybes,"Drama, Romance","Filipino, Tagalog, Japanese",Movie,"France,Thailand,Hong Kong,Japan,Czech Republic,Belgium,Switzerland,Hungary,Russia,Netherlands,Germany,Poland,Australia,Canada,Mexico,Brazil,India,Singapore,Italy,Argentina,United States,United Kingdom,Malaysia,Spain,Greece,Slovakia,Sweden,Turkey,South Africa,Iceland,Portugal,Israel,Lithuania,Colombia,Romania",1-2 hour,6.3,,,,24-May-19,2020-12-03,130
RELIC,relic,"Drama, Horror, Mystery, Thriller",English,Movie,Canada,1-2 hour,6,4,16,"$1,047,083",10-Jul-20,2020-12-03,16116
The Truth,the truth,Drama,"French, English",Movie,Canada,1-2 hour,6.5,1,2,"$9,619",03-Jul-20,2020-12-03,4868
Fierce,fierce,Documentary,English,Movie,"Czech Republic,Canada,Australia,France,Mexico,Brazil,India,Thailand,Spain,Hong Kong,Singapore,Greece,Japan,Argentina,Belgium,United States,Switzerland,Hungary,Russia,United Kingdom,Slovakia,Malaysia,Sweden,Netherlands,Germany,Turkey,Italy,South Korea,South Africa,Iceland,Portugal,Israel,Lithuania,Colombia,Romania",1-2 hour,7.8,,,,19-Apr-16,2020-12-02,32
