Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Indoo Ki Jawani,indoo ki jawani,"Comedy, Drama",Hindi,Movie,"Canada,Mexico,South Africa,Thailand,Turkey,Singapore,Argentina,Israel,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,United States,Russia",1-2 hour,1.4,,,,11-Dec-20,2021-03-02,3505
The Coroner,the coroner,"Crime, Drama",English,Series,Canada,< 30 minutes,7,,,,16-Nov-15,2021-03-02,1328
Brave New World,brave new world,"Drama, Sci-Fi",English,Series,"Poland,Czech Republic,Hungary,Slovakia,Romania,India",< 30 minutes,7.1,,,,15-Jul-20,2021-03-02,9408
Comrades: Almost a Love Story,comrades: almost a love story,"Drama, Romance","Cantonese, Mandarin, English",Movie,South Korea,1-2 hour,8.1,23,8,"$17,676",02-Nov-96,2021-03-01,5047
The Closet,the closet,Comedy,French,Movie,South Korea,1-2 hour,7,1,1,"$6,678,894",10-Aug-01,2021-03-01,16657
The Mysterians,the mysterians,"Action, Family, Sci-Fi, Thriller","Japanese, English",Movie,Japan,1-2 hour,6.2,,,"$975,000",15-May-59,2021-03-01,1383
No Longer Human,no longer human,"Biography, Drama, Thriller",Japanese,Movie,Japan,> 2 hrs,5.9,,2,,13-Sep-19,2021-03-01,379
Repast,repast,Drama,Japanese,Movie,Japan,1-2 hour,7.7,9,,,23-Nov-51,2021-03-01,1355
Sway,sway,"Crime, Drama",Japanese,Movie,Japan,1-2 hour,7.2,10,4,,08-Jul-06,2021-03-01,963
When a Woman Ascends the Stairs,when a woman ascends the stairs,Drama,Japanese,Movie,Japan,1-2 hour,8.1,,,,25-Jun-63,2021-03-01,3771
Yearning,yearning,Drama,Japanese,Movie,Japan,1-2 hour,8.1,1,,,23-Oct-64,2021-03-01,1359
Gorath,gorath,"Action, Family, Sci-Fi, Thriller","Japanese, English",Movie,Japan,1-2 hour,5.8,,,,15-May-64,2021-03-01,636
Ginza Cosmetics,ginza cosmetics,Drama,"Japanese, English",Movie,Japan,1-2 hour,6.9,,,,14-Apr-51,2021-03-01,279
Floating Clouds,floating clouds,"Drama, Romance",Japanese,Movie,Japan,> 2 hrs,7.7,9,,,06-Jun-80,2021-03-01,2395
Cheer Boys!!,cheer boys!!,"Animation, Drama, Sport",Japanese,Movie,Japan,1-2 hour,6.4,,,,05-Jul-16,2021-03-01,70
365 Nights,365 nights,,Japanese,Movie,Japan,1-2 hour,5.5,,,,,2021-03-01,6
Restart After Come Back Home,restart after come back home,"Drama, Romance",Japanese,Movie,Japan,1-2 hour,7.2,,,,04-Sep-20,2021-03-01,80
Trial by Fire,trial by fire,"Biography, Drama",English,Movie,United Kingdom,> 2 hrs,6.9,,,"$148,504",17-May-19,2021-03-01,3657
5 Minute,5 minute,Comedy,English,Movie,Romania,1-2 hour,8.6,,3,,12-Oct-10,2021-03-01,41
Dilili in Paris,dilili in paris,"Animation, Adventure, Family, Mystery",French,Movie,"Germany,Switzerland",1-2 hour,7,1,2,,04-Oct-19,2021-03-01,816
All of Us,all of us,Comedy,English,Movie,Netherlands,1-2 hour,5.9,,12,,16-Sep-03,2021-03-01,1280
Years and Years,years and years,"Drama, Sci-Fi",English,Series,Belgium,< 30 minutes,8.3,1,14,,24-Jun-19,2021-03-01,22324
The New Pope,the new pope,Drama,"English, Italian",Series,"Belgium,Netherlands",< 30 minutes,8.2,4,,,13-Jan-20,2021-03-01,12101
Life and Nothing But,life and nothing but,"Drama, War",French,Movie,"France,Belgium",> 2 hrs,7.4,9,14,,06-Sep-89,2021-03-01,1568
Let Joy Reign Supreme,let joy reign supreme,"Drama, History, War","French, Breton",Movie,"France,Belgium",1-2 hour,7.1,5,3,,26-Mar-75,2021-03-01,1305
Coup de Torchon,coup de torchon,"Comedy, Crime, Drama","French, English",Movie,"France,Belgium",> 2 hrs,7.5,2,11,,04-Nov-81,2021-03-01,5058
Valley of the Gods,valley of the gods,"Adventure, Drama, Sci-Fi, Thriller",English,Movie,Poland,> 2 hrs,4.5,,2,,11-Aug-20,2021-03-01,494
Framing John DeLorean,framing john delorean,"Documentary, Biography, Drama",English,Movie,Poland,1-2 hour,6.5,,,"$145,625",07-Jun-19,2021-03-01,1398
Critters Attack!,critters attack!,"Comedy, Horror, Sci-Fi",English,Movie,"Poland,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,3.7,,,,06-Nov-20,2021-03-01,2050
The Bold Type,the bold type,Drama,English,Series,"Lithuania,Poland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,South Africa,Slovakia,Sweden,Thailand,Netherlands,Singapore,Turkey,Israel,Romania,United Kingdom,Malaysia,India,Hong Kong,Japan,South Korea,Russia,Iceland,Switzerland",< 30 minutes,8,2,14,,20-Jun-17,2021-03-01,9767
Alice,alice,"Comedy, Romance","English, Cantonese",Series,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland",< 30 minutes,6.6,1,7,"$7,331,647",10-Jan-91,2021-03-01,13379
Lobster Cop,lobster cop,"Comedy, Crime",Mandarin,Movie,South Korea,1-2 hour,5.1,,,"$85,693",22-Jun-18,2021-02-28,143
Magic hour,magic hour,Crime,English,Movie,South Korea,1-2 hour,5.5,,,,,2021-02-28,90
Marionette,marionette,"Mystery, Thriller",English,Movie,South Korea,1-2 hour,5.9,3,3,,19-Sep-20,2021-02-28,1059
Miss Baek,miss baek,Drama,Korean,Movie,South Korea,1-2 hour,6.6,10,16,,11-Oct-18,2021-02-28,814
Old Marine Boy,old marine boy,Documentary,Korean,Movie,South Korea,1-2 hour,6.9,,,,,2021-02-28,7
Ordinary People,ordinary people,Drama,English,Movie,South Korea,1-2 hour,7.7,19,14,"$54,766,923",19-Sep-80,2021-02-28,47265
Outdoor Begins,outdoor begins,"Comedy, Fantasy, Horror, Thriller",Korean,Movie,South Korea,1-2 hour,4.8,,,,04-Mar-17,2021-02-28,6
Paths of the Soul,paths of the soul,Drama,Tibetan,Movie,South Korea,1-2 hour,7.5,5,7,"$31,747",20-Jun-17,2021-02-28,738
Promise at Dawn,promise at dawn,"Biography, Drama, Romance, War","French, Polish, Spanish, English",Movie,South Korea,> 2 hrs,7.2,1,7,,06-Sep-19,2021-02-28,2464
